API,Module,Service,Page,Button/Action,Implemented,Notes
SalesOrderService.fulfill_order,inventory,SalesOrderService,Inventory,Disburse & Complete,NO,Inventory page not refactored
SalesOrderService.reject_order,finance,SalesOrderService,Finance,Reject,NO,Finance page not refactored
SalesOrderService.get_order,sales,SalesOrderService,Sales Orders,View Details,YES,Double-click
SalesManager.create_order,sales,SalesManager,Sales Orders,Internal,YES,Called by dialog
SalesManager.generate_invoice,sales,SalesManager,Sales Orders + Invoices,Invoice,YES,Both pages
SalesManager.record_payment,sales,SalesManager,Invoices,Record Payment,YES,Payment dialog
WorkflowService.register_workflow,workflow,WorkflowService,N/A,System API,N/A,Not exposed to UI
WorkflowService.get_workflow_for_type,workflow,WorkflowService,N/A,Internal,N/A,Not exposed to UI
WorkflowService.initialize_document_state,workflow,WorkflowService,N/A,Internal,N/A,Called by services
WorkflowService.get_current_state,workflow,WorkflowService,All Pages,Load Data,YES,Used in queries
WorkflowService.get_next_state,workflow,WorkflowService,N/A,Internal,N/A,Not exposed to UI
ApprovalService.approve_document,workflow,ApprovalService,N/A,Internal,N/A,Not exposed to UI
ApprovalService.reject_document,workflow,ApprovalService,N/A,Internal,N/A,Not exposed to UI
EmployeeService.create_employee,employee,EmployeeService,Employees,New Employee,YES,Dialog placeholder
EmployeeService.get_employee,employee,EmployeeService,Employees,View Details,YES,Selection handler
EmployeeService.update_employee,employee,EmployeeService,Employees,Edit,YES,Dialog placeholder
EmployeeService.change_status,employee,EmployeeService,Employees,Deactivate,YES,Confirmation dialog
EmployeeService.assign_permissions,employee,EmployeeService,Employees,Permissions,YES,Dialog placeholder
EmployeeService.list_employees,employee,EmployeeService,Employees,Load Data,YES,Table population
FinanceManager.add_expense,finance,FinanceManager,Finance,New Expense,NO,Page not refactored
FinanceManager.get_cash_flow,finance,FinanceManager,Finance,Dashboard,NO,Page not refactored
FinanceManager.get_profit_loss,finance,FinanceManager,Finance,P&L Dashboard,NO,Page not refactored
FinanceManager.get_accounts_receivable,finance,FinanceManager,Finance,Dashboard,NO,Page not refactored
FinanceManager.get_accounts_payable,finance,FinanceManager,Finance,Dashboard,NO,Page not refactored
InventoryManager.get_stock_level,inventory,InventoryManager,Inventory Stock,Load Data,YES,Table display
InventoryManager.check_stock_availability,inventory,InventoryManager,N/A,Internal,N/A,Validation
InventoryManager.add_stock,inventory,InventoryManager,Inventory Stock,Add Stock,YES,Dialog
InventoryManager.deduct_stock,inventory,InventoryManager,N/A,Internal,YES,Called by issue/fulfill
InventoryManager.get_inventory_valuation,inventory,InventoryManager,Inventory Stock,Dashboard,NO,Could add metric
PurchasingManager.create_purchase_order,purchasing,PurchasingManager,Purchasing,New PO,NO,Page not created
PurchasingManager.receive_items,purchasing,PurchasingManager,Purchasing,Receive,NO,Page not created
PurchasingManager.record_payment,purchasing,PurchasingManager,Purchasing,Pay,NO,Page not created
CRMManager.get_customer_history,crm,CRMManager,Customers,Report,NO,Page not refactored
CRMManager.get_customer_segmentation,crm,CRMManager,Customers,Segmentation,NO,Page not refactored
CRMManager.check_credit_limit,crm,CRMManager,N/A,Internal,N/A,Validation
ReportingManager.get_sales_report,reporting,ReportingManager,Reports,Sales Report,NO,Page not refactored
ReportingManager.get_inventory_report,reporting,ReportingManager,Reports,Inventory Report,NO,Page not refactored
ReportingManager.get_purchase_report,reporting,ReportingManager,Reports,Purchase Report,NO,Page not refactored
ReportingManager.get_customer_statement,reporting,ReportingManager,Reports,Statement,NO,Page not refactored
ReportingManager.export_to_csv,reporting,ReportingManager,Multiple Pages,Export,YES,Used in 5 pages
ReportingManager.export_to_excel,reporting,ReportingManager,Reports,Export Excel,NO,Page not refactored
ReportingManager.export_pdf_table,reporting,ReportingManager,Invoices,Print,YES,PDF generation
AuthManager.login,security,AuthManager,Login,Login,YES,Login window
AuthManager.create_user,security,AuthManager,Settings,New User,NO,Admin function placeholder
AuditLogger.log,security,AuditLogger,N/A,Internal,N/A,Automatic logging
RBAC.get_role_permissions,security,RBAC,N/A,Internal,N/A,Permission checks
RBAC.check_permission,security,RBAC,N/A,Internal,N/A,Permission validation
BatchOperationsManager.bulk_update_status,batch,BatchOperationsManager,N/A,Bulk Update,NO,No UI
BatchOperationsManager.bulk_delete,batch,BatchOperationsManager,N/A,Bulk Delete,NO,No UI
BatchOperationsManager.export_to_csv,batch,BatchOperationsManager,N/A,Batch Export,NO,Uses ReportingManager
BatchOperationsManager.import_from_csv,batch,BatchOperationsManager,N/A,Import,NO,No UI
