API,Module,Service,Classification,UI_Page,UI_Action,Has_UI,Implemented,Priority,Notes
FinanceManager.get_cash_flow,finance,FinanceManager,BUSINESS,Finance Dashboard,Cash Flow,NO,YES,LOW,Old page active
FinanceManager.get_profit_loss,finance,FinanceManager,BUSINESS,Finance Dashboard,P&L,NO,YES,MEDIUM,Old page active
FinanceManager.get_accounts_receivable,finance,FinanceManager,BUSINESS,Finance Dashboard,A/R,NO,YES,MEDIUM,Old page active
FinanceManager.get_accounts_payable,finance,FinanceManager,BUSINESS,Finance Dashboard,A/P,NO,YES,LOW,Old page active
InventoryManager.get_stock_level,inventory,InventoryManager,BUSINESS,Inventory Stock,Load Data,YES,YES,HIGH,Table display
InventoryManager.check_stock_availability,inventory,InventoryManager,INTERNAL,N/A,Internal,NO,YES,N/A,Validation
InventoryManager.add_stock,inventory,InventoryManager,BUSINESS,Inventory Stock,Add Stock,YES,YES,HIGH,Dialog
InventoryManager.deduct_stock,inventory,InventoryManager,INTERNAL,N/A,Internal,NO,YES,N/A,Called by fulfill
InventoryManager.get_inventory_valuation,inventory,InventoryManager,BUSINESS,Inventory Reports,Valuation,NO,YES,MEDIUM,Report missing
PurchasingManager.create_purchase_order,purchasing,PurchasingManager,BUSINESS,Purchasing,New PO,NO,YES,HIGH,Old page active
PurchasingManager.receive_items,purchasing,PurchasingManager,BUSINESS,Purchasing,Receive,NO,YES,HIGH,Old page active
PurchasingManager.record_payment,purchasing,PurchasingManager,BUSINESS,Purchasing,Pay,NO,YES,MEDIUM,Old page active
CRMManager.get_customer_history,crm,CRMManager,BUSINESS,Customers,History,NO,YES,MEDIUM,Old page active
CRMManager.get_customer_segmentation,crm,CRMManager,BUSINESS,Customers,Segmentation,NO,YES,LOW,Old page active
CRMManager.check_credit_limit,crm,CRMManager,INTERNAL,N/A,Internal,NO,YES,N/A,Validation
ReportingManager.get_sales_report,reporting,ReportingManager,BUSINESS,Reports,Sales Report,NO,YES,MEDIUM,Old page active
ReportingManager.get_inventory_report,reporting,ReportingManager,BUSINESS,Reports,Inventory Report,NO,YES,MEDIUM,Old page active
ReportingManager.get_purchase_report,reporting,ReportingManager,BUSINESS,Reports,Purchase Report,NO,YES,LOW,Old page active
ReportingManager.get_customer_statement,reporting,ReportingManager,BUSINESS,Reports,Statement,NO,YES,LOW,Old page active
ReportingManager.export_to_csv,reporting,ReportingManager,BUSINESS,Multiple Pages,Export,YES,YES,MEDIUM,Used in 5 pages
ReportingManager.export_to_excel,reporting,ReportingManager,BUSINESS,Reports,Export Excel,NO,YES,LOW,Old page active
ReportingManager.export_pdf_table,reporting,ReportingManager,BUSINESS,Invoices,Print,YES,YES,MEDIUM,PDF generation
AuthManager.login,security,AuthManager,BUSINESS,Login,Login,YES,YES,HIGH,Login window
AuthManager.create_user,security,AuthManager,BUSINESS,Settings,New User,NO,YES,LOW,Old page active
AuditLogger.log,security,AuditLogger,INTERNAL,N/A,Internal,NO,YES,N/A,Automatic logging
RBAC.get_role_permissions,security,RBAC,INTERNAL,N/A,Internal,NO,YES,N/A,Permission checks
RBAC.check_permission,security,RBAC,INTERNAL,N/A,Internal,NO,YES,N/A,Validation
BatchOperationsManager.bulk_update_status,batch,BatchOperationsManager,DEFERRED,N/A,Future Feature,NO,NO,LOW,No UI needed
BatchOperationsManager.bulk_delete,batch,BatchOperationsManager,DEFERRED,N/A,Future Feature,NO,NO,LOW,No UI needed
BatchOperationsManager.export_to_csv,batch,BatchOperationsManager,INTERNAL,N/A,Internal,NO,NO,N/A,Uses ReportingManager
BatchOperationsManager.import_from_csv,batch,BatchOperationsManager,DEFERRED,N/A,Future Feature,NO,NO,LOW,No UI needed
